bucket,conf_1k,conf_end,acc_1k,acc_end,d_conf,d_acc
0,0.38008142790903676,0.34145390529113717,0.18791946308724833,0.18120805369127516,-0.03862752261789959,-0.006711409395973172
1,0.38706335593552604,0.35596842385660954,0.15824915824915825,0.21212121212121213,-0.031094932078916504,0.05387205387205388
2,0.3705694901788714,0.32609095496269985,0.19333333333333333,0.22,-0.044478535216171566,0.026666666666666672
3-4,0.3779960345281025,0.32665523780074096,0.15333333333333332,0.2733333333333333,-0.051340796727361526,0.12
5-7,0.3734506907325492,0.31936651690804824,0.13043478260869565,0.3076923076923077,-0.05408417382450098,0.17725752508361206
8-13,0.37013611481769393,0.3498636657029692,0.18333333333333332,0.39,-0.020272449114724755,0.2066666666666667
14-25,0.3784893801994123,0.37743741124478664,0.18394648829431437,0.42474916387959866,-0.0010519689546256705,0.2408026755852843
26-60,0.4099997170623178,0.4254101500206515,0.23333333333333334,0.5,0.01541043295833372,0.26666666666666666
61-200,0.42526491394940164,0.5464162336585339,0.28,0.6766666666666666,0.12115131970913223,0.3966666666666666
200+,0.45575225960053833,0.766587959120148,0.4633333333333333,0.8533333333333334,0.31083569951960965,0.39000000000000007
