,bucket,gap_final,gap_step0,ci_lo,ci_hi
0,0,0.16024585159986202,0.15144455822530994,0.11739967197522148,0.20168368256518435
1,1,0.1438472117353974,0.10933720644256419,0.09988067683656712,0.18775699542605767
2,2,0.10609095496269985,0.10010434110765469,0.06312200299520326,0.1472800461937279
3,3-4,0.053321904467407644,0.13782891578591414,0.006961207446644729,0.09920682081932498
4,5-7,0.011674209215740528,0.11227114872615346,-0.037683221648427155,0.057487293061838585
5,8-13,-0.04013633429703084,0.10582302460080176,-0.08864991259761952,0.008482120156242452
6,14-25,-0.04731175263481202,0.13612490011183973,-0.09700141157678177,0.0014072319082781416
7,26-60,-0.07458984997934848,0.12875275155331933,-0.12564878146856032,-0.02612032720976435
8,61-200,-0.13025043300813277,0.1541819339301444,-0.17420322221035983,-0.08521446286185232
9,200+,-0.0867453742131854,0.15621556128662206,-0.11983486582099794,-0.05361712835328752
