bucket,q50,q75,q90,err
0,0.4966442953020134,0.23825503355704697,0.07046979865771812,0.9429530201342282
1,0.45454545454545453,0.2053872053872054,0.0707070707070707,0.9393939393939394
2,0.4633333333333333,0.19666666666666666,0.07333333333333333,0.9566666666666667
3-4,0.4633333333333333,0.19333333333333333,0.07333333333333333,0.97
5-7,0.46153846153846156,0.2408026755852843,0.10033444816053512,0.9732441471571907
8-13,0.4866666666666667,0.2633333333333333,0.07333333333333333,0.9433333333333334
14-25,0.48494983277591974,0.26755852842809363,0.11371237458193979,0.9431438127090301
26-60,0.51,0.3233333333333333,0.15666666666666668,0.8533333333333333
61-200,0.5266666666666666,0.36,0.19666666666666666,0.7466666666666666
200+,0.2633333333333333,0.22333333333333333,0.11,0.30333333333333334
